"subject" "activity" "tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagmean" "tBodyAccMagstd" "tGravityAccMagmean" "tGravityAccMagstd" "tBodyAccJerkMagmean" "tBodyAccJerkMagstd" "tBodyGyroMagmean" "tBodyGyroMagstd" "tBodyGyroJerkMagmean" "tBodyGyroJerkMagstd" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagmean" "fBodyAccMagstd" "fBodyBodyAccJerkMagmean" "fBodyBodyAccJerkMagstd" "fBodyBodyGyroMagmean" "fBodyBodyGyroMagstd" "fBodyBodyGyroJerkMagmean" "fBodyBodyGyroJerkMagstd"
1 "WALKING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.9280564692 -0.83682740562 -0.826061401628 -0.24888179828 0.70554977346 0.4458177198 -0.8968300184 -0.90772000676 -0.85236629022 0.0810865342 0.0038382040088 0.010834236361 -0.958482112 -0.9241492736 -0.9548551108 -0.016553093978 -0.064486124088 0.14868943626 -0.87354386782 -0.9510904402 -0.9082846626 -0.107270949192 -0.04151728689 -0.0740501211 -0.9186085208 -0.9679072436 -0.9577901596 -0.8419291525 -0.79514486386 -0.8419291525 -0.79514486386 -0.9543962646 -0.9282456284 -0.874759548 -0.81901016976 -0.96346103 -0.9358409828 -0.9390990524 -0.86706520518 -0.8826668762 -0.9244374346 -0.8336255561 -0.81289155944 -0.9570738838 -0.9224626098 -0.9480609042 -0.9641607086 -0.9322178704 -0.9605869872 -0.850249174586 -0.9521914948 -0.909302721 -0.8822964508 -0.9512320494 -0.9165825082 -0.8617676481 -0.7983009404 -0.9333003608 -0.9218039756 -0.8621901854 -0.82431943968 -0.9423669466 -0.9326606676
1 "WALKING_UPSTAIRS" 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.977229008297872 -0.922618641914894 -0.93958629106383 0.831509933404255 0.204411592680851 0.332043702765957 -0.968457145744681 -0.935517055957447 -0.949040933191489 0.0774825199574468 -0.000619102785106384 -0.00336779235021277 -0.986430711276596 -0.981371965319149 -0.987910804468085 -0.045350056512766 -0.0919241549361702 0.0629313811914894 -0.977211283191489 -0.966473895319149 -0.941425920851064 -0.0936793807234043 -0.0402118124255319 -0.046702627 -0.99173159212766 -0.989518068510638 -0.987935806382979 -0.948536786170213 -0.927078418723404 -0.948536786170213 -0.927078418723404 -0.987364195531915 -0.984120024042553 -0.93089249 -0.934531840425532 -0.991976341276596 -0.988308728510638 -0.979641238723404 -0.944084550425532 -0.959184889148936 -0.976412313191489 -0.917275006382979 -0.934469558085106 -0.986597022553191 -0.981579467021277 -0.986053092340425 -0.987492994468085 -0.982513909574468 -0.988339184893617 -0.976161464042553 -0.975838585319149 -0.951315544468085 -0.977904227021277 -0.962345042553192 -0.94391784106383 -0.947782922553192 -0.928444801702128 -0.985262126808511 -0.981606177446808 -0.958435589361702 -0.932198374893617 -0.989797547234043 -0.987049617234043
1 "WALKING_DOWNSTAIRS" 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.995759901509434 -0.973190056415094 -0.979775876981132 0.942952000377358 -0.272983832264151 0.0134905823226415 -0.99376298509434 -0.981225957924528 -0.976324063584906 0.0753766542264151 0.00797573092830189 -0.00368524954709434 -0.994604542264151 -0.98564873245283 -0.992251177358491 -0.0239877347979245 -0.0593972209811321 0.074800751 -0.987191946603774 -0.98773444 -0.980645626981132 -0.0996092129056604 -0.0440627877924528 -0.0489505466716981 -0.992945106981132 -0.995137917358491 -0.992108467169811 -0.984278207358491 -0.981942928867925 -0.984278207358491 -0.981942928867925 -0.992367790566038 -0.993096209433962 -0.976493792830189 -0.978690028679245 -0.994966790566038 -0.994733238679245 -0.995249932641509 -0.977070847735849 -0.985297098679245 -0.99602834509434 -0.972293102075472 -0.977937259622642 -0.994630797358491 -0.985418704528302 -0.990752166037736 -0.995073759245283 -0.987018226792453 -0.992349818113208 -0.986386786037736 -0.988984455849057 -0.980773122830189 -0.987497128679245 -0.987107727735849 -0.98234533 -0.985356361132075 -0.982313804716981 -0.99254247754717 -0.992536003396226 -0.984617623396226 -0.978466072075472 -0.994815376981132 -0.994671123207547
1 "SITTING" 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 0.935223201473684 -0.282165021263158 -0.068102864 -0.976609642526316 -0.971305961473684 -0.947717226105263 0.0740416333157895 0.0282721095884211 -0.00416840617789474 -0.113615602435789 0.0670025007684211 -0.502699788526316 -0.041830963526 -0.0695300462115789 0.0849448173042105 -0.473535485894737 -0.0546077686594737 -0.344266629473684 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.207421854757895 -0.304468510631579 -0.404255452631579 -0.136971176556842 -0.219688645631579 -0.136971176556842 -0.219688645631579 -0.141428809031579 -0.0744717500625263 -0.160979552536842 -0.186978364526316 -0.298703679084211 -0.325324878894737 -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.319134719578947 0.056040006846 -0.279686751494737 -0.170546964549579 -0.0352255241130632 -0.468999224631579 -0.133586606326316 0.106739857136 -0.534713440421053 -0.339032197115789 -0.103059416434737 -0.255940940315789 -0.516691938736842 -0.0335081597884211 -0.436562227473684 -0.128623450629474 -0.398032586842105 -0.0571194000343158 -0.103492403002105 -0.199252568986316 -0.321017953894737 -0.319308593778947 -0.381601911789474
1 "STANDING" 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.0300353383483878 -0.0319359434489796 -0.230434213204082 0.931874418979592 -0.266610338979592 -0.0621199585938775 -0.950559811632653 -0.937018658979592 -0.895939695102041 0.0541553164897959 0.0296504490408163 -0.0109719730183673 -0.012283860544898 -0.101601390640816 -0.345735032326531 -0.0350781902989796 -0.0909371290204082 0.0900850142030612 -0.458030542938775 -0.126349194938775 -0.124702454242857 -0.0739592036271429 -0.0439902783367347 -0.0270461061061224 -0.487027342244898 -0.238824827530612 -0.268761480242857 0.0271882914106122 0.0198843506265306 0.0271882914106122 0.0198843506265306 -0.0894474807979592 -0.0257877197081633 -0.0757412543673469 -0.225724368061224 -0.295463843346939 -0.306510645530612 0.0382291831510204 0.00154990783591837 -0.225574471693878 0.0243308391387755 -0.112963739953061 -0.297927894693878 -0.0276638676122449 -0.12866715764898 -0.288334735714286 -0.0863278966402041 -0.134580008877551 -0.401721464285714 -0.352449631363265 -0.0557022524693878 -0.0318694271979592 -0.495422486102041 -0.181414728657143 -0.238443565306122 0.0965845343040816 -0.186530301073469 0.0262184949326531 -0.104052260726531 -0.185720285744898 -0.398350390122449 -0.281963359177551 -0.391919876612245
1 "LAYING" 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.35470802509434 -0.00232026501698113 -0.0194792388471698 0.89335109754717 -0.362153364339623 -0.075402939754717 -0.956367027924528 -0.952849233207547 -0.912379410377358 0.101372729922642 0.0194863076188679 -0.0455625449113208 -0.446843887735849 -0.378274426037736 -0.706593530943396 0.050549379754717 -0.166170015088679 0.0583595463981132 -0.544871104528302 0.00410518379811321 -0.50716867490566 -0.122232768011321 -0.0421485884509434 -0.0407125527654717 -0.614786508490566 -0.601696656226415 -0.606332002264151 -0.129927630735849 -0.324970929245283 -0.129927630735849 -0.324970929245283 -0.466503446226415 -0.478991622075472 -0.126735589969811 -0.14861931805283 -0.59488286509434 -0.648553044339623 -0.404321784150943 -0.190976720811321 -0.433349702075472 -0.337428188679245 0.0217695106566038 0.0859565543849057 -0.479875245660377 -0.41344458754717 -0.685474353962264 -0.461907025849057 -0.381777065283019 -0.726040200754717 -0.492611667924528 -0.319474609056604 -0.453597213018868 -0.565892490754717 0.151538905566038 -0.57170784 -0.352395944716981 -0.416260101509434 -0.44265216245283 -0.533059853773585 -0.325961457396226 -0.182985518264151 -0.634665082075472 -0.693930521509434
2 "WALKING" 0.275516852741935 -0.0189556785048387 -0.101300477506452 -0.982776639193548 -0.962057544516129 -0.96369103483871 -0.241758478064516 0.837032099677419 0.48870318516129 -0.982512193064516 -0.981202749677419 -0.964807543870968 0.0769811125806452 0.0138041011306452 -0.00435625874355645 -0.98087931483871 -0.968710724677419 -0.982093162903226 -0.0208170540330645 -0.0718507159435484 0.137999561112903 -0.974545752096774 -0.977272653709677 -0.963505609032258 -0.10004449883871 -0.0389771765322581 -0.06873387 -0.980328645 -0.986762741935484 -0.983338279516129 -0.972791346129032 -0.964218176451613 -0.972791346129032 -0.964218176451613 -0.979484593387097 -0.976121297903226 -0.951564751451613 -0.954275110967742 -0.98671362516129 -0.983139255645161 -0.980665609032258 -0.961169982903226 -0.968332141612903 -0.983691129032258 -0.964094604193548 -0.96327908016129 -0.980513202258064 -0.968752113709677 -0.979122344354839 -0.983122615967742 -0.971044012741936 -0.983711904677419 -0.970167262903226 -0.978099682258065 -0.962341960806452 -0.975986433709677 -0.977032495483871 -0.967256854193548 -0.96552427516129 -0.968350217419355 -0.975949597903226 -0.975305377903226 -0.96458672483871 -0.955441855806452 -0.984278251290323 -0.982568158064516
2 "WALKING_UPSTAIRS" 0.257197599134615 -0.00350299841730769 -0.0983579203269231 -0.971010120961538 -0.856617812115385 -0.875110175384615 0.901098984615385 0.127303379245962 0.139020582461538 -0.957324457884615 -0.903923008269231 -0.897736318269231 0.0726098418653846 0.00272529134230769 -0.00423348373557692 -0.974467390384615 -0.953631390961538 -0.974661565961538 -0.0385365204807692 -0.07524100275 0.0940113975530769 -0.965434768461538 -0.944854571346154 -0.926413710384615 -0.103605889057692 -0.0360909881807692 -0.0590079966686538 -0.972546905961538 -0.978635908653846 -0.973751670576923 -0.895383350192308 -0.8703017 -0.895383350192308 -0.8703017 -0.969080752884615 -0.966550084230769 -0.919354372307692 -0.925518103807692 -0.977998051923077 -0.976772675961538 -0.970154440961538 -0.891907751346154 -0.917987925384615 -0.971605878461538 -0.8496556575 -0.864322464038462 -0.974950363461538 -0.954170151346154 -0.970845669423077 -0.976283534807692 -0.956461756730769 -0.9771595725 -0.957550637692308 -0.95617355 -0.934967958846154 -0.968013062884615 -0.939609988461538 -0.930633150769231 -0.904185725576923 -0.874626592115385 -0.965888891730769 -0.966568852884615 -0.946664943653846 -0.925449629 -0.977898105576923 -0.976689802692308
2 "WALKING_DOWNSTAIRS" 0.280046513278689 -0.0143376555065574 -0.101621722633148 -0.96674254295082 -0.893449307213115 -0.911419015081967 0.93503077852459 -0.301735130327869 0.024763106752459 -0.982020428032787 -0.957425321803279 -0.928161577377049 0.0750900622277049 0.00771663644590164 -0.00807177934114754 -0.957086489344262 -0.941686785737705 -0.973059634918033 -0.0246626070770492 -0.0585101918262295 0.0665262054098361 -0.900462227540984 -0.927788618196721 -0.91236408147541 -0.0994602620655738 -0.0472415819016393 -0.0416832156688525 -0.940937642459016 -0.968433747868853 -0.958293011803279 -0.925430819016393 -0.915143303606557 -0.925430819016393 -0.915143303606557 -0.959303840327869 -0.948770043278689 -0.892089349344262 -0.88212522147541 -0.962339339672131 -0.957679766885246 -0.960123409508197 -0.908075353770492 -0.939507735245902 -0.969931287377049 -0.89243434852459 -0.904801254590164 -0.957666856721311 -0.943497973606557 -0.969174903442623 -0.960570921803279 -0.943948547213115 -0.975595949508197 -0.901282267540984 -0.937711157213115 -0.916172537704918 -0.901985672459016 -0.923125941147541 -0.919743846065574 -0.926968932295082 -0.921836076557377 -0.948627467704918 -0.94820681442623 -0.913682362622951 -0.883439718032787 -0.960331717868852 -0.957121510491803
2 "SITTING" 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.360356726034483 -0.0699140652103448 -0.387411994310345 0.936506743275862 -0.261986357931034 -0.138107866258621 -0.97777159137931 -0.962355639482759 -0.952091795 0.0814745882660345 0.0100591485 -0.00562264594827586 -0.26867964387931 -0.0449619594258621 -0.52948611637931 -0.0256405192517241 -0.0779150937413793 0.0813485942827586 -0.571869560172414 -0.563793260172414 -0.476696411551724 -0.0952398165017241 -0.0387874651724138 -0.0503616100815517 -0.385922986034483 -0.639087984137931 -0.536664080344828 -0.254690333275862 -0.328428936551724 -0.254690333275862 -0.328428936551724 -0.280009317413793 -0.139916355325862 -0.466411754137931 -0.561510683275862 -0.566135217931034 -0.567371560862069 -0.316614011689655 -0.0813024353275862 -0.412374074482759 -0.379276781206897 -0.124030832001724 -0.422998473965517 -0.304694442551724 -0.140508590224138 -0.514137255344828 -0.296596633103448 -0.00561498755362069 -0.543529108103448 -0.437845763793103 -0.561526265344828 -0.418126217413793 -0.615121369827586 -0.568888673448276 -0.545896388103448 -0.290031535172414 -0.456373080862069 -0.186764516965517 -0.0898519904044828 -0.569755772241379 -0.632643292931034 -0.607751646034483 -0.549087007931034
